类型,id,标签,回答id,回答点赞数,回答评论数,回答感谢数,回答观看数,回答创建时间,问题id,问题题目,问题回答数,问题关注数,评论数,创建时间
answer,15_1574824947.113,生理学,794362910,10368,5701,1412,3306568,1566193018,30097964,为什么很少人会去打生长激素来让自己长高呢？,1211,11016,85,1430747852
answer,12_1574824947.732,台词,887877652,196,33,19,115838,1573285916,342296407,你听过最洗脑的台词有哪些？,358,1318,2,1566537154
answer,13_1574824947.324,时间管理,779703923,36898,1405,32919,1806720,1565237656,284206141,你是怎么变自律的？,5282,237105,208,1530896861
answer,14_1574824947.373,创业,834522943,3913,491,2057,813365,1569332412,267003361,你知道哪些暴利正规生意？,684,21729,12,1518322023
answer,16_1574824947.136,品牌,799313074,1216,396,1106,196046,1566526256,284075766,婴儿的衣服品牌哪些比较好？,95,1596,4,1530815377
answer,17_1574824947.279,心理学,813152895,2490,241,1349,162197,1567583943,23374538,缺乏安全感的人怎么谈恋爱？,669,15058,21,1397222950
answer,12_1574824948.269,文化,860155464,7567,1016,1528,2420628,1571282374,322175199,一看就很贵气的女孩子是什么样子的？,2232,33741,61,1556499658
answer,13_1574824948.146,劳动法,840452004,11753,418,6390,800913,1569811113,20450610,公积金是怎么用的？,70,7551,1,1346287321
answer,14_1574824948.984,李小璐,884993260,1112,106,177,531683,1573091831,265071525,李小璐看上PG ONE什么了？为什么会喜欢上他？,1307,4712,40,1515044759
answer,15_1574824948.941,人际交往,838284763,2224,172,139,342296,1569637656,293658755,有多少人毕业后和自己的导师不相往来？,919,7071,21,1536242928
answer,16_1574824948.838,奇葩说 第一季（综艺）,906809322,235,16,13,67762,1574507433,55519984,如何评价罗振宇参加《奇葩说》的表现？,258,670,6,1486453957
answer,17_1574824948.79,摩羯座,847920565,15,27,12,4804,1570414114,62825347,摩羯男到底喜欢怎样的女友？,74,435,8,1500788659
answer,12_1574824948.948,女生,860935169,1282,480,222,914830,1571326712,313230469,有哪些女生自认为好看实则很土的穿搭？,1345,7854,15,1550812182
answer,13_1574824948.245,明星,777124983,2084,614,441,1197956,1565066524,51341283,以圈内人角度看，娱乐圈有多乱？,9867,176289,248,1475819155
answer,14_1574824948.716,体育,798304072,40631,1652,5329,3512781,1566452389,60843717,有哪些大局已定，却又被极限反杀的操作？,4929,64602,72,1496917532
answer,15_1574824948.54,分手,879034252,3,0,2,1333,1572680698,353417362,为什么很多人在有过类似「分手」的经验后，都会换个新头发？,190,416,0,1572511817
answer,12_1574824949.96,游戏,883509732,2746,177,180,195236,1572982853,37442804,忽略收费原因，CS:GO 比 CF 强在哪里？,618,1688,41,1447378131
answer,13_1574824949.244,学习,747550031,2476,46,1505,110407,1563013520,315958918,哔哩哔哩(bilibili)上有哪些值得一看的纪录片？,1069,89950,22,1552574617
answer,14_1574824949.586,文学,889479398,614,83,398,27508,1573401306,325947936,有哪些适合发朋友圈做文案的句子？,40,445,0,1558704919
answer,15_1574824949.887,女生,908795245,22,8,5,15313,1574644220,271459836,为什么很多好女孩没有男朋友甚至没人追？,1570,5863,70,1523152759
answer,17_1574824949.157,婴儿,770937184,5546,463,282,711780,1564643340,333501198,满月婴儿很脆弱吗？,1662,4261,223,1562343675
answer,12_1574824949.667,有钱人,857742932,628,272,108,219478,1571107507,348780681,你觉得王一博有钱还是肖战有钱?,241,320,2,1569987826
answer,13_1574824949.100,师生恋,770483768,1437,352,161,599338,1564623294,310723964,老师爱上学生是种什么体验？,138,573,2,1548825391
answer,14_1574824949.531,白日梦,834680072,12470,746,1655,1974820,1569343666,346435901,如果某天一把枪指着你的脑袋，你只能说五个字，说得好就会放了你，说得不好就立马开枪，你会说什么来保命？,4383,6396,134,1568706098
answer,15_1574824949.617,田馥甄（Hebe）,846728431,1745,280,238,999591,1570326510,349324083,林俊杰出道以来一直单身吗？,88,152,2,1570298353
answer,16_1574824949.951,葡萄酒,844433416,2,0,0,70,1570156551,348028716,很多文章都说喝红酒可以变得年轻，是真的吗？,41,45,0,1569554754
answer,17_1574824949.322,职场,901025751,754,50,47,161117,1574165491,350577228,你们听过领导最没水平的一句话是什么？,2021,4104,12,1570981536
answer,12_1574824950.133,文学,816800798,934,68,341,104008,1567882829,304049577,有没有什么能把你虐哭的短篇小说？,4820,115118,62,1543472622
answer,13_1574824950.730,性感,830492912,10524,295,1280,2824121,1569005099,346908870,怎么看待泫雅舞台上掀裙子？,834,2929,85,1568948837
answer,15_1574824950.603,ARM,884260081,834,116,117,112938,1573030925,353856943,如何看待三星停止自研 CPU 架构并解散相关团队？,46,715,3,1572748432
answer,16_1574824950.666,游戏,896814472,781,208,64,270657,1573908332,356173318,你觉得《英雄联盟》中哪个英雄杀人最爽？,108,115,1,1573906814
answer,17_1574824950.984,军事,822381244,838,230,92,327176,1568357483,345779314,王牌飞行员可以跨越战斗机代数差距吗？,136,272,9,1568342728
answer,12_1574824950.96,美剧,696885754,2067,508,317,244627,1558950028,309079884,你最怀念哪部电视剧给你的感觉？,4153,13426,42,1547440558
answer,13_1574824950.283,小说,837808771,2082,228,246,419934,1569585552,47362671,你知道的民间邪物的故事有哪些？,2499,113826,112,1465723802
answer,14_1574824950.956,人际交往,785954375,3645,258,253,1031819,1565630884,313239352,你见过最恶心的亲戚是怎样的？,4243,11307,13,1550817255
answer,15_1574824950.997,明星,839060311,7044,1483,1468,855264,1569688401,342211272,你是什么时候脱粉肖战的？,3339,3972,33,1566485384
answer,16_1574824950.969,投资,702228388,31302,1250,21488,1307293,1559385122,28184589,学生党想每月拿三百块做基金定投，逼迫自己强制储蓄，面对基金众多无从下手，如何评估一只基金呢？,491,23951,46,1423908705
answer,17_1574824950.73,世界观,869728034,2882,329,344,732794,1571994988,313611693,人有没有前世？,5252,25974,104,1551081394
answer,12_1574824951.889,宠物饲养,906269819,129,20,3,37100,1574480826,329070571,边牧作为智力排名第一的狗，为什么很多人还是不愿意养？,1127,7767,77,1560334206
answer,13_1574824951.730,分手,911900742,3,8,0,892,1574817107,325477770,分手后怎样复合？,24,62,1,1558477567
answer,14_1574824951.431,电影,381703720,12466,187,7742,525628,1525270083,25699277,有哪些电影一定要趁年轻看？,3411,176516,100,1412425833
answer,15_1574824951.639,校园,836131015,10569,286,753,1474372,1569468051,332370202,校园里的小混混都干过什么令人震惊的事？,2159,7928,24,1561805910
answer,16_1574824951.166,食品科学,646456110,15252,528,7084,740114,1554850837,24018210,卤菜店里卖的卤菜为什么老远都能闻到香味？而自家做的怎么都闻不到那么浓的香味啊？,180,6561,18,1401848459
answer,17_1574824951.359,王一博,845446718,47,44,3,8575,1570224376,349150830,如何评价王一博为肖战庆生？,445,547,3,1570197117
answer,12_1574824951.879,幽默回答,833040445,3199,356,155,457742,1569222701,308662400,你见过哪些「以为是个青铜，结果是个王者」的视频或图片？,2717,80903,50,1547104859
answer,13_1574824951.674,心理学,816473850,846,30,667,59831,1567854361,344012315,做销售的技巧是什么？,55,386,0,1567407477
answer,14_1574824951.604,健康,886721130,58,9,5,27895,1573199181,326502155,耳屎能大到什么程度？,1617,4508,51,1559009422
answer,15_1574824951.75,心理,690470660,28080,1042,1459,3174339,1558427588,300387669,炫富真的很爽吗？,4313,19126,70,1540734700
answer,16_1574824951.245,影视,848199771,1328,94,303,36866,1570428565,340716389,《陈情令》是怎么被救活的？,260,648,18,1565854383
answer,17_1574824951.734,大学,865865283,10508,566,540,1479647,1571724444,294198631,为华为工作几年之后华为会卸磨杀驴是真的吗？,625,6975,56,1536641251
answer,12_1574824951.589,情感,911754667,2,0,0,336,1574794159,357204370,想看你们的狗狗可以吗？,217,241,0,1574412249
answer,13_1574824951.91,工作,773469838,5994,1375,862,1064052,1564813965,24135486,三十万年薪的人是怎么过日子的？,1814,9035,22,1402646726
answer,14_1574824951.787,健康,837183766,6512,1321,724,2830068,1569551755,47990039,听说吃素久了的人能闻出吃肉的人身上有臭味，真的吗？,2376,3844,189,1467212926
answer,15_1574824951.881,心理学,861564939,11087,708,967,2716909,1571381483,320425310,你有什么不愿意告诉另一半的秘密？,12862,40547,60,1555421595
answer,17_1574824951.673,王一博,905616801,541,169,185,13715,1574427828,333581767,《陈情令》里有哪些隐藏的糖？,353,3027,4,1562396899
answer,12_1574824952.787,iOS 游戏,895081896,80,61,5,20763,1573790101,55814849,王者荣耀五杀是一种怎样的体验？,626,851,6,1487078753
answer,13_1574824952.721,育儿,816350154,258,1,288,26174,1567845677,310835254,如何陪伴几个月的婴儿玩耍和学习？,22,487,0,1548919433
answer,15_1574824952.945,未婚生子,865490351,1098,1081,194,938630,1571706912,274913337,未婚先孕的姑娘，最后都怎样了?,4720,16308,141,1524758109
answer,17_1574824952.395,生活,910281386,13,13,1,3615,1574728162,294213474,女生有男朋友之后才知道的事情有哪些？,14628,129885,96,1536648965
answer,12_1574824952.488,电影,895445135,1172,357,77,188528,1573807357,51250166,你在影视作品中见过最悲凉的时刻是什么？,1093,7736,11,1475552085
answer,13_1574824952.135,减肥,812802354,2443,22,1476,138632,1567564457,276683147,梨形身材+大腿前侧突出 怎么办？,396,24832,96,1525962652
answer,14_1574824952.114,心理学,615826675,8673,590,3356,402684,1551871699,305533266,缺爱的家庭会培养出什么样的孩子？,5718,44527,85,1544619462
answer,15_1574824952.898,情感,681861905,60874,1485,31233,5632187,1557734854,311934252,什么样的女孩子（长得好看除外）才是最吸引男孩子的？,4286,64036,173,1549935897
answer,16_1574824952.195,文章,799573099,5106,28,2092,118265,1566538506,45165351,你见过哪些惊艳的作文开头？,409,35215,4,1462115826
answer,17_1574824952.414,深圳市,832714464,3287,1438,635,458621,1569206141,304838170,在深圳你觉得累吗？,3161,18042,37,1544064626
answer,12_1574824952.285,音乐,902947952,1350,502,169,503704,1574274797,40175858,陈伟霆本人到底怎么样？,378,2491,12,1454735942
answer,13_1574824952.488,创业,866225049,5884,1667,938,1938532,1571742658,36996031,月薪4万是一种什么样的感受？,2154,16761,79,1446112817
answer,14_1574824952.599,法律,856792709,13786,769,787,2270930,1571037778,319863335,你见过的最虐心的案子是什么？,4401,64855,85,1555071277
answer,16_1574824952.313,大学生活,899592417,7437,1037,398,692428,1574082953,52216828,如何看待大学里常见的“一周情侣”活动？,715,3283,49,1478071651
answer,17_1574824952.494,信息安全,846586628,3569,1637,418,1567531,1570303711,269308945,信息泄露可以有多恐怖？,7669,30419,39,1521604156
answer,12_1574824953.197,皮肤护理,785607570,9899,201,6394,1665652,1565612088,282225899,如果每天都擦身体乳会怎么样？,3235,47250,124,1529776729
answer,13_1574824953.650,动物,882264624,145,30,9,14156,1572912543,354068837,动物会开车吗？,135,410,12,1572849747
answer,14_1574824953.16,故事,778637536,22274,1454,5365,1599075,1565162418,293120775,有什么真的很恐怖或细思恐极的鬼故事？,1808,22712,10,1535892244
answer,15_1574824953.723,薪酬待遇,867784026,3297,914,379,1448572,1571861080,349564459,年薪 30w 的你，会娶一个月薪 3000 的专科女吗?,2197,2860,53,1570447639
answer,16_1574824953.891,生活,777464396,459,10,193,63591,1565081765,330807220,有哪些小众又高级的礼物?,776,140431,44,1561264459
answer,17_1574824953.928,法律,782118977,28484,2089,2538,4119255,1565395638,319863335,你见过的最虐心的案子是什么？,4401,64855,85,1555071277
answer,12_1574824953.888,幽默回答,779485704,3210,299,209,592096,1565228601,308662400,你见过哪些「以为是个青铜，结果是个王者」的视频或图片？,2717,80903,50,1547104859
answer,13_1574824953.66,沟通技巧,896038912,816,43,259,159734,1573864118,348132267,情侣之间没话说了怎么办呢？,529,10126,13,1569597257
answer,15_1574824953.991,支付宝,906174572,432,139,64,241838,1574476643,354200654,支付宝积分有什么用吗？,322,1485,17,1572919377
answer,16_1574824953.788,公司,887818213,17259,673,880,1820824,1573282375,47727905,你见过哪些员工因为作死被开除的事情？,5883,82312,104,1466653259
answer,12_1574824954.704,电脑游戏,910368277,11,13,0,4960,1574731863,64938261,你在游戏里作过哪些恶？,4406,12808,34,1504606044
answer,13_1574824954.805,装修,789638270,814,6,282,95160,1565858793,56054068,家装中，你最后悔的事是什么？,1036,43999,34,1487569836
answer,14_1574824954.221,两性关系,739149194,11784,1171,5621,1398773,1562376082,310431658,什么样的男生一看就知道没谈过恋爱？,3660,44616,100,1548573484
answer,15_1574824954.715,奢侈品,786345709,2415,574,462,1390502,1565667702,306429011,穿A货进奢侈品店，店员看得出来吗？,744,2986,13,1545322036
answer,16_1574824954.109,法律,909808942,15,8,3,15701,1574684048,319863335,你见过的最虐心的案子是什么？,4401,64855,85,1555071277
answer,17_1574824954.876,人际交往,901818219,29,18,10,64166,1574220946,280586758,室友的哪些不该看的东西被你看到了？,6611,41347,32,1528687391
answer,12_1574824954.823,手机游戏,889303174,136,244,8,21352,1573391047,348996280,王者荣耀玩家可以低素质到什么程度?,252,271,12,1570108668
answer,14_1574824954.870,四川,911512461,1,0,0,228,1574777258,350749707,北方人如何抵御四川的冬天？,273,712,12,1571067116
answer,15_1574824954.383,深圳市,773687966,502,223,82,98172,1564826104,305734099,28岁在深圳到手15000过的怎么样？,1245,6350,27,1544784677
answer,16_1574824954.418,苏州,887365596,171,128,25,64085,1573250090,346464940,苏州到底好不好？,96,189,0,1568718123
answer,17_1574824954.650,淘宝网,845499442,777,192,210,497911,1570235037,36609954,淘宝上大量所谓商场专柜剪标的衣服是高仿还是正品？,219,1708,7,1445134226
answer,12_1574824954.714,后宫·甄嬛传（电视剧）,825700671,5226,745,1197,732929,1568635157,280106300,《甄嬛传》有没有什么值得深扒的人物？,88,815,0,1528341754
answer,13_1574824954.740,国家公务员考试,908568563,16,19,0,3289,1574612912,357479513,怎样评价2020国考？考完的你什么感受？,966,2550,9,1574567862
answer,14_1574824954.703,程序员,898448815,5653,220,1762,331744,1574018331,356351510,你的编程能力从什么时候开始突飞猛进？,263,13347,5,1574000909
answer,15_1574824954.416,城市生活,898132320,2160,854,217,1011914,1573996697,48604008,为什么对保姆越好她越不好好干？,793,5675,75,1468793675
answer,16_1574824954.816,发展,777801493,2265,1149,370,224840,1565100018,337890560,能否客观分析一下王一博肖战今后的发展？,441,1528,18,1564541547
answer,17_1574824954.650,健康,907039093,4568,225,394,1091137,1574519480,356814145,为什么俄罗斯女生在俄罗斯那样的气候环境下的皮肤那么好？,74,966,28,1574236660
answer,12_1574824955.423,电影,883652142,11444,269,5079,274260,1573003740,24309989,有哪些适合恋人一起看的电影？,1074,44576,46,1403973867
answer,13_1574824955.442,两性关系,889486034,172,94,39,106116,1573401674,23612855,男人下体那么脆弱，那为什么那么多女性面对强奸还那么无助？,2426,6476,128,1398936993
answer,14_1574824955.578,美国,909601381,2393,258,150,221480,1574674349,65551651,在美国当码农到底有多爽?,51,2011,2,1505795590
answer,15_1574824955.726,互联网,647163947,10226,362,5044,571155,1554896042,22052999,让你用得最爽的 Windows 软件是什么？,463,40127,18,1384683530
answer,16_1574824955.168,EXO,866691053,1263,50,159,188641,1571792649,338882266,EXO九人的真实关系如何？,126,239,0,1565014790
answer,12_1574824955.279,电影,883256189,1922,212,109,377659,1572960344,278925395,影视剧里有哪些很过瘾的怼人片段？,1418,32745,24,1527483116
answer,13_1574824955.270,购物,812097294,20344,289,11600,1316545,1567498152,31755025,有哪些冷门却好用的东西可以网购？,288,121348,21,1435552647
answer,14_1574824955.48,二胎,849331933,2367,705,302,877091,1570512614,322635839,生二胎的你们后悔了吗？,661,1899,5,1556795250
answer,15_1574824955.572,男性,900076625,4867,163,279,692044,1574128493,56716848,一个男性可以可爱到什么程度？,5423,26252,69,1488802158
answer,16_1574824955.884,王一博,890830215,45,20,8,1611,1573516174,347969292,剧版《陈情令》魏无羡真的喜欢蓝湛吗？,108,283,0,1569507657
answer,17_1574824955.408,英语,712549438,1060,68,453,58112,1560271346,47968288,大学英语四级作文有没有万能套句？,172,24653,5,1467174861
answer,13_1574824955.923,教育,904656249,6302,934,366,504604,1574387423,319184424,学历高和学历低的眼界差距有多大？,2821,38006,73,1554649014
answer,14_1574824955.566,李小璐,875955583,4172,249,445,1545821,1572452320,353258394,如何看待PGONE李小璐视频流出？,382,1251,17,1572427669
answer,15_1574824955.770,信息安全,876994834,2770,301,238,926703,1572524999,269308945,信息泄露可以有多恐怖？,7669,30419,39,1521604156
answer,17_1574824955.320,魔道祖师（小说）,872043923,3576,377,436,183846,1572181554,352258168,如果是蓝忘机被化了金丹，魏无羡会换丹给他吗？,98,203,4,1571899098
answer,12_1574824956.524,生活,824461561,1508,215,55,158280,1568538287,48373014,有哪些结局神转折的故事？,344,3455,10,1468221835
answer,13_1574824956.620,骚扰电话,768270186,29485,2131,9705,4025885,1564470688,40039062,如何用一句话堵死电话销售？,15277,32755,242,1454311932
answer,14_1574824956.523,生活,837345626,43637,2784,13883,1931357,1569559356,343423627,突然想问男朋友这种生物要怎么找？,992,4907,36,1567080519
answer,15_1574824956.339,手机壁纸,854971230,25239,473,7867,761258,1570887454,328798732,有没有超好看的全面屏壁纸？,803,14527,4,1560210076
answer,17_1574824956.198,健身,808078302,442,160,128,83651,1567151699,341880408,健身练什么部位最难?,214,1544,6,1566357993
answer,12_1574824956.797,西安,881933871,296,566,51,149865,1572873073,287636056,月薪一万在西安是什么体验？,953,3783,5,1532945668
answer,13_1574824956.95,生活,802185130,1156,195,287,1328572,1566730971,324129824,陌陌上的女人在想什么？,437,3360,14,1557712496
answer,16_1574824956.634,暴食,906655117,10,16,2,3698,1574499555,317568858,大家怎么停止暴食的？,530,2205,3,1553592363
answer,17_1574824956.171,公务员,902376709,196,19,75,43959,1574242498,68571253,大家为了考公务员都花了多大的努力？,46,204,0,1511489431
answer,12_1574824957.666,烹饪,661115961,3060,251,1203,401670,1556033348,59390509,蒸烤一体机和烤箱+蒸箱组合，哪个更值得入手？原因是？,92,1665,6,1493894891
answer,13_1574824957.59,孩子,815202976,18605,0,2991,332770,1567749431,309947729,人贩子不会拐什么样的孩子？,1348,5239,23,1548156911
answer,14_1574824957.414,情感,719996518,7438,2033,1022,2066020,1560877306,296553237,女生发什么样的朋友圈男生最反感？,3350,10728,56,1538203393
answer,15_1574824957.465,考研,898008256,347,176,46,87947,1573990469,338228731,放弃考研是一种怎样的体验？,462,1512,4,1564671229
answer,16_1574824957.574,乐华娱乐,902050101,391,56,96,15396,1574230587,353929975,如何看待王一博的乐华十年？,30,72,0,1572775455
answer,12_1574824958.972,生活方式,875567402,13520,554,776,1606982,1572429706,353248772,如何看待李小璐 PGone 二人合拍的多个小视频疑似流出？,3649,9542,210,1572425012
answer,13_1574824958.538,管理,813020317,17779,4637,3379,2791381,1567576546,323731445,国企和私企最大区别是什么？,1609,12372,50,1557458939
answer,14_1574824958.996,运动减肥,862333170,2885,157,805,1639079,1571452637,299598737,长期不吃晚饭会怎样？,1247,6779,48,1540217624
answer,15_1574824958.209,女性,903640054,842,475,117,377210,1574318909,321123412,女生穿成这样算暴露吗？,4748,19312,444,1555851248
answer,16_1574824958.982,生活,887406995,2527,587,278,574017,1573258613,319258164,抖音是否正在毁掉中国部分的年轻人？,8888,22363,302,1554705328
answer,17_1574824958.304,夜店,887134602,16494,523,1227,2072034,1573222187,351703265,你在酒吧见过哪些令你震惊的事？,217,1600,0,1571603248
answer,12_1574824959.829,血糖,793846737,5975,701,2305,296950,1566147284,341299672,为什么 2019 年 08 月博君一肖风波那么大？,347,1193,20,1566140662
answer,13_1574824959.128,母婴,900315810,521,319,75,464993,1574136734,323229472,怀孕期间你最讨厌听到什么话？,1169,1607,6,1557161187
answer,14_1574824959.681,孙中山,865213723,3980,309,291,604967,1571668918,54850703,宋庆龄为什么没有葬在中山陵？,26,160,2,1484629538
answer,15_1574824959.651,王一博,838163986,588,55,175,53139,1569629870,333581767,《陈情令》里有哪些隐藏的糖？,353,3027,4,1562396899
answer,16_1574824959.14,香港,898461193,6399,244,369,625641,1574023468,20586253,霍启刚为什么决定和郭晶晶结婚？,287,1381,28,1352450698
answer,17_1574824959.152,法律,818398731,746,19,45,56451,1568020136,344489828,法学专业都有哪些梗？,176,4689,2,1567655379
answer,12_1574824959.368,NBA,818980127,9449,889,763,935976,1568081261,330436147,四米身高打篮球是什么体验？,583,1023,18,1561079822
answer,13_1574824959.799,粉丝（Fans）,845564642,5673,295,1190,335546,1570239427,346381476,你觉得肖战怎么样？,1151,1372,20,1568685468
answer,15_1574824959.501,袜子,904174909,32,15,5,18058,1574342355,305726305,有没有冬天的打底裤或者打底袜推荐？,40,136,0,1544779198
answer,16_1574824959.608,基因,693099278,20478,2120,1573,2351872,1558626693,322833888,如果父母长的好看那他们孩子一定也会长的好看吗？,1196,3850,22,1556938934
answer,17_1574824959.654,娱乐,852558580,4689,131,255,775151,1570717857,344276433,综艺节目都是演出来的吗？,1279,6511,56,1567550121
answer,12_1574824959.825,上海,911647607,0,0,0,205,1574783588,24865212,在北上广深打拼的单身年轻人的生活状态是怎样的？,3883,77315,157,1408104000
answer,13_1574824959.495,气质,736817262,21278,445,17842,1914542,1562183720,313138365,为什么有些人光是站那不动都有气质？,1412,28624,56,1550740054
answer,14_1574824959.960,生活方式,646158453,26214,134,17898,2182859,1554812935,278614494,有什么不错的瘦腿方法？,259,13078,8,1527253154
answer,15_1574824959.160,离婚,908963895,28,49,8,20477,1574650198,319493421,离婚后你们过得好不好？,1458,8343,31,1554860353
answer,16_1574824959.173,宿舍,865730663,5095,713,510,692706,1571717019,301088193,什么时候发现大学室友只能是室友？,8530,19060,88,1541216543
answer,12_1574824960.385,手机,865747462,16198,1012,3231,908368,1571717936,312849874,你手机里有舍不得删的照片或视频吗？,8149,47384,108,1550552658
answer,13_1574824960.633,人性,854700805,3264,2244,521,2420019,1570870289,287642868,有哪些你准备藏一辈子但可以在这里说的秘密？,57667,152980,238,1532948467
answer,14_1574824960.780,气质,825355762,1316,27,519,257376,1568614718,64054055,脖子前倾如何解决？,50,4247,9,1502969549
answer,15_1574824960.611,鬼,911040109,15,19,1,6812,1574756291,343021269,鬼是否真实存在？,899,2395,20,1566899062
answer,16_1574824960.829,王一博,873211049,806,98,193,44822,1572263005,341194186,《天天向上》对王一博有多好？,41,107,0,1566097950
answer,17_1574824960.708,教育,911651732,0,0,0,213,1574783801,357019978,大学生买了车，会不会受同学排挤？,142,145,0,1574327157
answer,12_1574824960.793,谢娜（主持人）,883663013,149,51,10,89282,1573004213,308384808,谢娜为什么这么招人讨厌？,17439,45867,313,1546902851
answer,13_1574824960.633,情感,860153927,36966,2771,12308,1675516,1571282304,266586355,一个女生可以可爱到什么程度？,3405,23033,33,1517582996
answer,14_1574824960.26,健康膳食,792558700,9137,1923,3444,1285989,1566051442,49265358,如何快速排便？,1471,10385,104,1470359447
answer,15_1574824960.893,华为,838977602,26552,962,3795,755492,1569682724,316456796,有什么让你相见恨晚的华为手机使用技巧？,146,7783,10,1552900875
answer,16_1574824960.728,笑话,732799580,24421,538,2823,1128482,1561868783,64335320,有哪些冷笑话可以一看就想笑？,322,6362,7,1503476071
answer,12_1574824960.511,奇葩说 第一季（综艺）,841790498,14224,288,7179,838951,1569926121,270934835,你觉得《奇葩说》里面最让你惊艳的观点是什么？,1505,59264,21,1522742536
answer,13_1574824960.72,小说,898908979,7941,830,6199,519093,1574052277,326890140,有什么不侮辱智商的言情小说?,1432,29169,41,1559125295
answer,14_1574824960.147,学生,838799852,2254,1386,515,1370444,1569671077,348049253,大三学生怀孕，该告诉父母吗？,1265,2693,136,1569564038
answer,15_1574824960.896,医学,894399357,669,481,164,333080,1573733596,68713008,怎么那么多人宣传打 HPV 疫苗，却绝口不提 HPV 疫苗的不良反应？,410,3677,29,1511750940
answer,16_1574824960.899,香港,899685703,575,70,36,155493,1574087959,20586253,霍启刚为什么决定和郭晶晶结婚？,287,1381,28,1352450698
answer,17_1574824960.767,阅读,658857090,15408,101,7686,509795,1555856782,317613487,有哪些冷门而有韵味的句子？,1028,58812,9,1553613123
answer,12_1574824961.797,手机,901128542,2375,363,112,193248,1574170517,312849874,你手机里有舍不得删的照片或视频吗？,8149,47384,108,1550552658
answer,13_1574824961.63,牙齿,902675899,4,7,1,4446,1574256709,30025715,一口龋齿是什么样的体验？,123,365,11,1430486628
answer,14_1574824961.724,视频,837703680,1341,15,989,41449,1569578163,308982522,视频剪辑中的视频素材是从哪里找的？,50,16290,5,1547359459
answer,15_1574824961.493,韩国流行音乐（K-Pop）,861036104,3659,167,424,1160860,1571341284,350675625,如何看待崔雪莉的死亡？,1580,2885,9,1571041661
answer,17_1574824961.423,外卖,893577083,39129,3656,2393,2721149,1573695005,302479879,外卖商家会因为红包而少给食物材料吗？,1905,5780,105,1542251205
answer,12_1574824961.702,贷记卡,905228742,8,10,0,7120,1574409099,286327269,那些欠网贷不还的人，现在怎么样了？,721,3028,9,1532225112
answer,13_1574824961.647,情商,873852568,365,28,92,12478,1572319490,341919401,王一博的情商你怎么看？,71,139,1,1566371194
answer,14_1574824961.639,博士,907364351,381,165,41,103788,1574556175,351937599,博士的待遇真的有那么好吗?,336,2826,19,1571731936
answer,15_1574824961.340,分手,888696075,3,0,0,48,1573353938,353417362,为什么很多人在有过类似「分手」的经验后，都会换个新头发？,190,416,0,1572511817
answer,16_1574824961.618,后宫·甄嬛传（书籍）,899866220,2896,51,135,226183,1574102683,355226885,如果甄嬛在果郡王喝毒酒时，一起喝了，皇上会怎样?,30,48,1,1573406552
answer,17_1574824961.648,怀孕,834524445,13053,2194,1286,1176459,1569332519,333247599,有没有受不了妊娠反应和怀孕变化，把孩子打掉的？,267,1557,6,1562217898
answer,12_1574824961.435,室友关系,826686478,22978,2648,9854,1359157,1568711731,305778646,有一个高段位绿茶室友是什么体验？,2759,15666,17,1544836125
answer,14_1574824961.359,山东,893352811,4186,251,188,510659,1573661314,336226437,山东男生真的那么高吗？,1451,1811,57,1563763721
answer,15_1574824961.784,谐音,834187996,3220,184,337,1412512,1569311752,344207520,李诞为什么不喜欢谐音梗?,225,709,15,1567505333
